character_name,role,tier,character_url
Ningguang,Main DPS,D,https://game8.co/games/Genshin-Impact/archives/297529
Dehya,Main DPS,D,https://game8.co/games/Genshin-Impact/archives/Dehya-Best-Builds
Xinyan,Main DPS,D,https://game8.co/games/Genshin-Impact/archives/305873
Aloy,Main DPS,D,https://game8.co/games/Genshin-Impact/archives/337957
Xinyan,Sub-DPS,D,https://game8.co/games/Genshin-Impact/archives/305873
Amber,Sub-DPS,D,https://game8.co/games/Genshin-Impact/archives/297535
Dori,Support,D,https://game8.co/games/Genshin-Impact/archives/380569
Lisa,Support,D,https://game8.co/games/Genshin-Impact/archives/Lisa-Best-Builds
Chongyun,Support,D,https://game8.co/games/Genshin-Impact/archives/297532
Noelle,Support,D,https://game8.co/games/Genshin-Impact/archives/297523
Xinyan,Support,D,https://game8.co/games/Genshin-Impact/archives/305873
